edges__source,edges__strength,edges__target
137008,0.326532245,209405
137008,0.383222903,157322
137008,0.383222903,158302
168434,0.4225,168436
168438,0.319473648,168466
168438,0.37051569,168503
178701,0.274376916,178709
63305,0.308646914,104808
63305,0.351162908,63307
63305,0.326532245,158309
74009,0.383222903,74010
74009,0.425325709,74016
74009,0.36,137009
74009,0.36,157307
74009,0.483928923,157320
74009,0.36,158302
74009,0.36,168406
74009,0.36,168414
74009,0.4225,168466
74009,0.36,168483
74009,0.36,168511
74009,0.4225,168512
74009,0.308646914,168536
74009,0.326532245,168538
74009,0.349174628,178704
74009,0.5625,168409
74009,0.49,168481
74009,0.58049161,178708
74010,0.319473648,74016
74010,0.326532245,136804
74010,0.326532245,168414
74010,0.326532245,168466
74010,0.326532245,168481
74010,0.326532245,168483
